embedder,classifier,train_language,test_language,accuracy,precision,recall,f1
BERTEmbedder,XLMRClassifierHead,arabic,arabic,0.4793103448275862,0.47810166164136664,0.4793103448275862,0.46799465819080693
BERTEmbedder,XLMRClassifierHead,arabic,portuguese,0.38045977011494253,0.3772571132283362,0.38045977011494253,0.3746820093541044
BERTEmbedder,XLMRClassifierHead,portuguese,english,0.4793103448275862,0.5092918443352944,0.4793103448275862,0.4552821809458978
BERTEmbedder,XLMRClassifierHead,portuguese,german,0.4160919540229885,0.4400978533540147,0.41609195402298854,0.3891047709270625
BERTEmbedder,XLMRClassifierHead,portuguese,arabic,0.4413793103448276,0.5898949435576043,0.4413793103448276,0.35811384489118786
BERTEmbedder,XLMRClassifierHead,portuguese,portuguese,0.46551724137931033,0.47488859962671404,0.46551724137931033,0.43644291776165806
LaBSEEmbedder,LogisticRegressionClassifier,english,english,0.6413793103448275,0.6509686798620758,0.6413793103448276,0.6363465305109313
LaBSEEmbedder,LogisticRegressionClassifier,english,german,0.5528735632183908,0.5608448154480539,0.5528735632183908,0.5547866372185549
LaBSEEmbedder,LogisticRegressionClassifier,english,arabic,0.5724137931034483,0.6225645654213555,0.5724137931034483,0.5774410700914581
LaBSEEmbedder,LogisticRegressionClassifier,english,portuguese,0.5896551724137931,0.592111520511544,0.5896551724137931,0.5894461159507648
LaBSEEmbedder,LogisticRegressionClassifier,german,english,0.5793103448275863,0.6407313916288694,0.5793103448275861,0.5799896668290451
LaBSEEmbedder,LogisticRegressionClassifier,german,german,0.6494252873563219,0.6503473044698864,0.6494252873563219,0.6495592530998768
LaBSEEmbedder,LogisticRegressionClassifier,german,arabic,0.43448275862068964,0.5946423960458936,0.43448275862068964,0.37319624819624814
LaBSEEmbedder,LogisticRegressionClassifier,german,portuguese,0.5494252873563218,0.545165897604922,0.5494252873563218,0.5401800716513774
LaBSEEmbedder,LogisticRegressionClassifier,arabic,english,0.6022988505747127,0.6241067260651104,0.6022988505747127,0.6059942515990729
LaBSEEmbedder,LogisticRegressionClassifier,arabic,german,0.45057471264367815,0.48772657535105407,0.45057471264367815,0.4250721320975431
LaBSEEmbedder,LogisticRegressionClassifier,arabic,arabic,0.6126436781609196,0.656369958300157,0.6126436781609196,0.6156563987507288
LaBSEEmbedder,LogisticRegressionClassifier,arabic,portuguese,0.47701149425287354,0.5397857221122059,0.4770114942528736,0.4355532473414709
LaBSEEmbedder,LogisticRegressionClassifier,portuguese,english,0.5896551724137931,0.6500726962013111,0.5896551724137932,0.589049078299191
LaBSEEmbedder,LogisticRegressionClassifier,portuguese,german,0.5252873563218391,0.5657909847832329,0.5252873563218391,0.5276558460340289
LaBSEEmbedder,LogisticRegressionClassifier,portuguese,arabic,0.5160919540229885,0.6315975216377631,0.5160919540229885,0.5062218245863246
LaBSEEmbedder,LogisticRegressionClassifier,portuguese,portuguese,0.6540229885057471,0.6612026988403915,0.654022988505747,0.6550807716910746
LaBSEEmbedder,MLPClassifier,english,english,0.6229885057471264,0.6332345569683961,0.6229885057471264,0.6152406657669816
LaBSEEmbedder,MLPClassifier,english,german,0.5379310344827586,0.5490071720661946,0.5379310344827587,0.5394463067713821
LaBSEEmbedder,MLPClassifier,english,arabic,0.5816091954022988,0.6049313990103464,0.5816091954022989,0.5848344101041848
LaBSEEmbedder,MLPClassifier,english,portuguese,0.5919540229885057,0.5993395980750066,0.5919540229885057,0.5939309550571236
LaBSEEmbedder,MLPClassifier,german,english,0.5781609195402299,0.6187598655256176,0.5781609195402299,0.581207442007862
LaBSEEmbedder,MLPClassifier,german,german,0.6471264367816092,0.6478689894134243,0.6471264367816091,0.6472795800242294
LaBSEEmbedder,MLPClassifier,german,arabic,0.5057471264367817,0.6092801952976868,0.5057471264367815,0.4817683748100802
LaBSEEmbedder,MLPClassifier,german,portuguese,0.5413793103448276,0.537391620372774,0.5413793103448276,0.5321997668091721
LaBSEEmbedder,MLPClassifier,arabic,english,0.5839080459770115,0.6027270030287449,0.5839080459770115,0.5881890772273946
LaBSEEmbedder,MLPClassifier,arabic,german,0.4632183908045977,0.49663276595770256,0.4632183908045977,0.4492448697872482
LaBSEEmbedder,MLPClassifier,arabic,arabic,0.6126436781609196,0.6396763190065565,0.6126436781609196,0.6160405976944358
LaBSEEmbedder,MLPClassifier,arabic,portuguese,0.5,0.5490137045853923,0.5,0.47311678499613946
LaBSEEmbedder,MLPClassifier,portuguese,english,0.535632183908046,0.5978234514871653,0.5356321839080459,0.5256069860285254
LaBSEEmbedder,MLPClassifier,portuguese,german,0.4908045977011494,0.5395570217918134,0.4908045977011495,0.4855171675338372
LaBSEEmbedder,MLPClassifier,portuguese,arabic,0.5448275862068965,0.6053050574641938,0.5448275862068965,0.5453681772444684
LaBSEEmbedder,MLPClassifier,portuguese,portuguese,0.632183908045977,0.6467474747474747,0.632183908045977,0.6313867264030283
LaBSEEmbedder,XLMRClassifierHead,english,english,0.6333333333333333,0.6373783077651609,0.6333333333333334,0.6273503005146723
LaBSEEmbedder,XLMRClassifierHead,english,german,0.5471264367816092,0.5546881357243573,0.5471264367816091,0.5493936780979806
LaBSEEmbedder,XLMRClassifierHead,english,arabic,0.6022988505747127,0.6149448926857565,0.6022988505747127,0.6026580671324678
LaBSEEmbedder,XLMRClassifierHead,english,portuguese,0.5850574712643678,0.5871866548739058,0.5850574712643678,0.5839062280651257
LaBSEEmbedder,XLMRClassifierHead,german,english,0.6011494252873564,0.6396692656576467,0.6011494252873563,0.6049359579260467
LaBSEEmbedder,XLMRClassifierHead,german,german,0.635632183908046,0.6363103268086657,0.635632183908046,0.6357368310107082
LaBSEEmbedder,XLMRClassifierHead,german,arabic,0.48735632183908045,0.5874502309284918,0.4873563218390804,0.46094877214413343
LaBSEEmbedder,XLMRClassifierHead,german,portuguese,0.5540229885057472,0.5503238717524432,0.5540229885057472,0.5403205308392313
LaBSEEmbedder,XLMRClassifierHead,arabic,english,0.5977011494252874,0.6125899681899762,0.5977011494252874,0.6011194051064505
LaBSEEmbedder,XLMRClassifierHead,arabic,german,0.4413793103448276,0.4741957645461807,0.4413793103448276,0.4234479853948881
LaBSEEmbedder,XLMRClassifierHead,arabic,arabic,0.6183908045977011,0.6561239865812774,0.6183908045977011,0.621691959230494
LaBSEEmbedder,XLMRClassifierHead,arabic,portuguese,0.47586206896551725,0.534708818085669,0.47586206896551725,0.43848110673935614
LaBSEEmbedder,XLMRClassifierHead,portuguese,english,0.5781609195402299,0.6178582339172005,0.5781609195402299,0.5788953374893376
LaBSEEmbedder,XLMRClassifierHead,portuguese,german,0.5091954022988506,0.5442587030699065,0.5091954022988506,0.511702497622985
LaBSEEmbedder,XLMRClassifierHead,portuguese,arabic,0.5735632183908046,0.6039582689433499,0.5735632183908046,0.5787108776160829
LaBSEEmbedder,XLMRClassifierHead,portuguese,portuguese,0.6586206896551724,0.6700823789431385,0.6586206896551724,0.6608441263704176
FastTextEmbedder,LogisticRegressionClassifier,english,english,0.6011494252873564,0.6429402970932702,0.6011494252873564,0.5874614246707269
FastTextEmbedder,LogisticRegressionClassifier,english,german,0.3425287356321839,0.3518612616681723,0.34252873563218394,0.22834887790765715
FastTextEmbedder,LogisticRegressionClassifier,english,arabic,0.29310344827586204,0.19289581759668914,0.2931034482758621,0.2228565759878204
FastTextEmbedder,LogisticRegressionClassifier,english,portuguese,0.3390804597701149,0.31303191971981786,0.3390804597701149,0.26257768393033276
FastTextEmbedder,LogisticRegressionClassifier,german,english,0.332183908045977,0.394359512390088,0.332183908045977,0.18086680749972897
FastTextEmbedder,LogisticRegressionClassifier,german,german,0.603448275862069,0.604214923129912,0.603448275862069,0.6019733296870592
FastTextEmbedder,LogisticRegressionClassifier,german,arabic,0.3275862068965517,0.11046511627906976,0.3275862068965517,0.16521739130434784
FastTextEmbedder,LogisticRegressionClassifier,german,portuguese,0.3333333333333333,0.27726218097447797,0.3333333333333333,0.17445780512055678
FastTextEmbedder,LogisticRegressionClassifier,arabic,english,0.31494252873563217,0.19636909094919816,0.31494252873563217,0.22603484334376553
